,Obj1XPos,Obj1YPos,Obj1Dir,Obj2XPos,Obj2YPos,Obj2Dir,CollisionX,CollisionY,Outcome
94,5,0,1,1,6,6,5,0,0
95,6,6,6,3,1,1,4,6,0
96,4,4,0,4,3,1,4,0,0
97,2,0,4,7,0,3,2,0,0
98,1,3,2,2,0,0,3,3,0
99,6,4,2,7,4,5,8,4,0
100,2,7,5,7,6,2,2,9,0
101,4,5,2,1,2,3,6,5,0
102,4,2,2,2,1,4,6,2,0
103,5,3,5,3,2,4,3,5,0
104,1,0,2,3,8,2,2,0,0
105,4,7,1,4,2,3,6,5,0
106,1,1,5,1,3,3,1,1,0
107,3,8,4,0,7,0,3,0,0
108,7,8,2,8,8,1,9,8,0
109,5,4,1,1,8,3,8,5,1
110,1,2,1,3,0,3,3,2,0
111,3,1,2,3,1,3,3,1,1
112,1,5,6,6,7,5,3,5,0
113,6,5,6,7,7,0,4,5,0
114,5,7,6,5,1,1,3,7,0
115,2,4,6,3,7,6,2,4,0
116,6,6,3,1,8,2,1,1,0
117,1,4,0,1,8,0,1,1,1
118,7,8,3,7,2,0,9,10,0
119,5,0,1,5,8,3,5,0,0
120,0,8,4,1,4,3,0,8,0
121,4,4,3,8,6,0,1,1,0
122,7,4,1,3,6,1,9,2,0
123,0,1,2,2,8,5,1,1,0
124,4,6,5,4,0,3,2,8,0
125,2,5,5,5,3,5,2,7,0
126,3,3,4,2,3,2,3,0,0
127,5,6,2,4,8,4,7,6,0
128,0,1,3,6,8,2,7,8,1
129,5,0,6,1,8,0,5,0,0
130,5,5,2,0,5,1,7,5,0
131,3,2,5,2,1,3,1,4,0
132,3,4,3,3,2,0,5,6,0
133,6,8,6,0,6,4,4,8,0
134,6,0,2,3,3,5,6,0,0
135,8,5,1,7,3,6,10,3,0
136,0,5,3,3,8,1,0,5,0
137,6,8,1,4,8,0,8,6,0
138,6,3,6,4,4,0,4,3,0
139,5,4,5,8,2,6,3,6,0
140,6,1,6,2,1,0,1,1,0
141,0,0,1,5,8,6,0,0,0
142,3,1,3,0,7,6,5,3,0
143,6,2,0,0,5,4,6,0,0
144,2,3,4,8,2,0,2,0,0
145,0,5,3,8,0,1,0,5,0
146,8,8,1,5,1,5,10,6,0
147,7,0,6,2,1,0,7,0,0
148,2,2,2,0,7,3,4,2,0
149,4,5,4,2,7,6,4,0,0
150,7,1,4,8,4,1,7,0,0
151,4,4,2,0,3,3,6,4,0
152,2,1,1,2,2,5,4,3,0
153,1,3,4,2,7,2,6,5,0
154,6,7,4,4,8,5,6,0,0
155,4,4,5,7,3,5,2,6,0
156,6,8,2,7,8,0,8,8,0
157,6,1,2,4,7,6,8,3,0
158,6,7,4,6,5,6,6,0,0
159,7,1,4,3,6,0,7,0,0
160,5,5,4,3,7,5,5,0,0
161,4,8,1,6,7,2,6,6,0
162,4,7,3,5,3,4,6,9,0
163,6,6,5,0,5,0,4,8,0
164,6,1,5,8,5,1,6,3,0
165,0,2,1,5,0,4,0,2,0
166,6,1,0,3,8,5,6,0,0
167,0,1,4,4,8,3,0,2,0
168,7,2,5,6,8,5,5,4,0
169,2,0,3,5,7,2,2,0,0
170,7,6,4,7,2,6,7,2,1
171,6,0,0,0,2,4,6,0,0
172,1,5,1,0,7,2,3,3,0
173,8,6,5,2,3,2,6,8,0
174,6,7,4,4,1,4,6,0,0
175,6,4,3,7,6,1,8,6,0
176,8,1,4,0,1,1,8,9,1
177,8,1,6,1,0,3,1,1,0
178,0,3,6,5,0,1,0,3,0
179,5,6,1,0,1,1,7,4,0
180,2,7,5,4,6,4,2,9,0
181,1,2,4,3,3,6,7,4,0
182,4,5,3,6,2,5,6,7,0
183,1,3,6,8,8,5,3,3,0
184,5,7,6,7,6,3,3,7,0
185,2,1,1,1,1,1,4,3,0
186,4,8,1,6,1,1,6,6,0
187,4,1,1,2,1,6,6,3,0
188,4,0,3,3,1,0,4,0,0
189,0,4,6,4,0,6,0,4,0
190,5,4,4,8,2,4,5,0,0
191,5,3,6,7,6,4,3,3,0
192,7,5,5,4,1,4,5,7,0
193,7,8,0,1,4,6,7,0,0
194,4,3,6,7,7,6,2,3,0
195,2,2,6,6,5,5,2,2,0
196,1,7,2,6,3,3,3,7,0
197,7,4,4,1,0,2,7,0,0
198,6,1,6,5,7,1,1,1,0
199,4,4,4,6,4,3,4,6,1
200,3,3,5,3,7,4,1,5,0
201,8,1,0,4,7,3,8,0,0
202,0,1,6,5,0,5,-20,1,0
203,3,8,1,0,7,4,5,6,0
204,6,6,4,5,6,6,6,0,0
205,0,0,6,4,6,2,0,0,0
206,5,8,4,7,5,2,5,0,0
207,1,0,2,3,8,4,2,0,0
208,1,2,1,4,5,5,3,2,0
209,7,8,6,7,8,2,7,8,1
210,0,0,3,8,5,5,0,0,0
211,0,7,5,8,6,2,0,7,0
212,7,5,5,1,3,0,5,7,0
213,4,6,1,3,4,4,6,4,0
214,2,8,3,3,6,1,4,10,0
215,6,8,2,4,3,4,8,8,0
216,5,3,6,7,8,2,3,3,0
217,8,8,6,1,7,4,3,8,1
218,1,0,4,5,5,1,1,1,0
219,7,3,3,6,3,1,9,5,0
220,7,8,3,1,7,2,9,10,0
221,5,0,3,6,2,5,5,0,0
222,7,6,4,6,3,0,7,0,0
223,0,8,2,1,4,6,0,8,0
224,6,8,2,0,0,2,8,8,0
225,2,4,0,6,7,4,2,0,0
226,3,6,0,5,1,5,3,0,0
227,5,4,3,7,6,4,7,6,0
228,4,4,6,1,3,3,2,4,0
229,5,6,4,5,8,1,5,4,1
230,5,8,4,4,4,5,5,0,0
231,8,2,6,8,0,0,6,2,0
232,6,2,4,2,7,0,6,0,0
233,1,7,4,2,3,1,2,9,0
234,2,1,0,6,8,0,2,0,0
235,7,5,1,1,3,2,7,3,1
236,1,2,1,2,5,1,3,2,0
237,6,0,4,7,1,6,6,0,0
238,6,2,0,2,7,2,6,0,0
239,3,2,5,8,4,1,1,4,0
240,2,1,0,4,5,1,2,0,0
241,0,4,3,3,4,5,0,4,0
242,0,8,6,3,4,5,0,8,0
243,0,5,2,8,3,2,0,5,0
244,2,6,2,0,3,2,4,6,0
245,6,7,6,2,4,6,4,7,0
246,2,1,4,6,1,3,2,7,1
247,8,6,4,5,3,4,8,0,0
248,1,7,1,4,3,1,3,5,0
249,4,4,6,0,8,6,2,4,0
250,4,2,3,4,6,2,8,6,1
251,4,8,4,6,7,5,4,0,0
252,6,8,3,1,3,2,8,10,0
253,7,4,4,5,0,0,7,0,0
254,4,6,3,3,0,5,6,8,0
255,8,0,3,7,7,5,8,0,0
256,1,1,0,1,0,4,1,1,1
257,7,5,5,1,1,2,5,7,0
258,0,7,1,5,8,6,0,7,0
259,0,5,3,8,7,6,0,5,0
260,4,0,6,1,4,5,4,0,0
261,5,3,5,0,1,2,3,5,0
262,1,1,1,3,4,1,1,1,0
263,0,5,3,7,8,2,0,5,0
264,4,5,5,5,8,5,2,7,0
265,8,3,1,4,6,5,10,1,0
266,7,3,3,1,6,5,9,5,0
267,2,0,3,8,1,2,2,0,0
268,6,6,5,3,2,6,4,8,0
269,4,1,5,2,2,3,4,3,0
270,1,5,6,1,1,0,5,5,1
271,3,7,0,0,2,2,3,0,0
272,1,5,3,8,5,5,3,7,0
273,7,8,2,3,5,3,9,8,0
274,2,1,6,0,0,2,1,1,0
275,2,2,4,3,7,0,2,0,0
276,3,2,4,4,6,2,3,0,0
277,4,4,2,3,5,2,6,4,0
278,6,3,3,2,1,6,8,5,0
279,6,8,1,1,2,0,8,6,0
280,2,6,6,3,5,6,2,6,0
281,5,8,6,1,5,6,3,8,0
282,6,6,0,5,4,2,6,0,0
283,2,0,0,6,3,2,2,0,0
284,7,3,0,0,6,1,7,0,0
285,4,6,3,0,4,4,6,8,0
286,1,0,0,0,4,0,1,-20,0
287,7,6,0,4,8,0,7,0,0
288,0,1,3,6,5,6,2,3,0
289,8,1,2,1,5,6,10,1,0
290,6,8,5,3,5,6,4,10,0
291,8,6,2,0,7,0,10,6,0
292,4,1,2,4,0,6,6,5,0
293,8,4,1,2,8,5,10,2,0
294,4,1,4,2,0,5,4,0,0
295,1,7,3,8,5,6,3,9,0
296,6,8,3,8,6,6,8,10,0
297,0,2,4,6,5,1,0,2,0
298,8,3,4,1,5,4,8,0,0
299,4,4,5,3,8,4,2,6,0
300,0,6,3,4,6,2,0,6,0
301,4,3,2,2,3,1,6,3,0
302,6,7,5,7,5,1,4,9,0
303,8,0,2,0,1,6,8,0,0
304,2,0,0,2,2,5,2,0,0
305,0,5,2,0,7,2,0,5,0
306,2,4,0,8,8,6,2,0,0
307,4,2,0,7,0,6,4,0,0
308,1,0,3,8,4,1,3,2,0
309,6,3,5,4,4,3,4,5,0
310,7,3,3,5,1,3,9,5,0
311,7,0,0,7,6,2,7,0,0
312,6,3,4,7,1,3,6,0,0
313,8,6,5,5,7,3,6,8,0
314,7,3,6,6,8,2,5,3,0
315,0,1,0,7,7,6,0,0,0
316,8,5,2,5,7,2,10,5,0
317,3,5,1,0,6,1,5,3,0
318,3,6,5,8,7,4,1,8,0
319,4,0,1,1,6,1,4,0,0
320,5,8,5,2,4,4,3,10,0
321,2,0,5,4,4,3,2,0,0
322,4,7,0,8,3,2,4,0,0
323,3,5,1,3,5,2,3,5,1
324,3,8,5,6,1,5,1,10,0
325,0,5,2,1,6,1,0,5,0
326,7,4,0,0,1,6,7,0,0
327,1,3,2,3,7,0,3,3,0
328,4,8,5,7,2,5,2,10,0
329,4,5,0,5,2,5,4,0,0
330,2,7,6,5,5,2,2,7,0
331,1,0,6,5,5,5,2,0,0
332,5,8,5,6,1,4,3,10,0
333,7,1,0,4,7,2,7,0,0
334,2,4,4,0,0,1,2,0,0
335,0,7,5,4,2,3,0,7,0
336,7,3,5,3,5,5,5,5,0
337,8,1,3,8,8,3,10,3,0
338,6,8,3,2,0,3,8,10,0
339,0,0,1,2,8,3,0,0,0
340,4,1,1,0,6,6,6,3,0
341,4,7,0,6,6,5,4,0,0
342,8,6,3,1,5,4,10,8,0
343,7,5,5,5,8,1,5,7,0
344,8,8,4,4,8,5,8,2,1
345,5,1,4,8,7,2,5,0,0
346,1,0,3,3,2,4,3,2,0
347,8,3,2,8,4,6,10,3,0
348,0,2,4,0,5,2,0,2,0
349,8,0,2,2,8,1,8,0,0
350,0,4,1,4,0,6,0,4,0
351,2,0,5,0,0,1,2,0,0
352,8,3,1,1,2,2,10,1,0
353,4,3,1,5,4,4,6,1,0
354,0,2,1,2,2,6,0,2,0
355,6,0,2,1,3,6,6,0,0
356,8,4,0,4,4,1,8,0,0
357,2,6,2,5,8,5,4,6,0
358,0,7,0,1,1,5,0,7,0
359,3,4,6,3,1,6,4,4,1
360,4,0,2,4,2,0,4,0,1
361,6,5,4,8,0,4,6,0,0
362,8,8,5,5,3,0,6,10,0
363,5,3,4,0,4,2,5,0,0
364,1,3,4,5,2,0,6,5,0
365,1,5,2,1,3,1,7,5,1
366,4,2,1,7,5,1,6,2,0
367,1,6,4,0,6,0,3,8,0
368,6,3,4,3,8,5,6,0,0
369,0,8,5,1,8,1,0,8,0
370,7,5,4,1,4,5,7,0,0
371,7,4,2,2,6,4,9,4,0
372,7,5,1,3,0,4,9,3,0
373,4,5,4,5,8,2,4,0,0
374,3,6,0,7,1,4,3,0,0
375,5,8,0,4,1,6,5,0,0
376,1,7,5,1,3,5,6,8,1
377,1,5,3,3,4,6,3,7,0
378,8,8,4,7,0,6,8,0,0
379,0,7,5,3,6,5,0,7,0
380,6,5,0,6,5,6,6,5,1
381,6,3,4,8,0,1,6,0,0
382,3,3,6,5,3,4,1,3,0
383,5,0,4,3,8,6,5,0,0
384,2,0,2,7,3,0,2,0,0
385,2,1,2,1,6,6,4,7,0
386,8,4,6,7,8,3,6,4,0
387,2,3,0,4,5,2,2,0,0
388,2,2,6,3,2,6,2,2,0
389,3,8,2,2,7,5,5,8,0
390,3,3,1,1,8,0,5,1,0
391,0,6,6,5,6,2,0,6,0
392,5,6,0,1,3,0,5,0,0
393,7,7,0,2,1,1,7,0,0
394,0,3,3,6,2,6,0,3,0
395,0,0,3,2,1,5,0,0,0
396,5,6,3,7,0,3,7,8,0
397,7,3,2,1,5,2,9,3,0
398,8,0,3,5,7,0,8,0,0
399,1,6,5,0,6,0,3,8,0
400,5,6,1,0,2,3,7,4,0
401,2,0,1,8,0,0,2,0,0
402,1,3,5,4,0,2,3,5,0
403,4,3,2,2,2,5,6,3,0
404,1,3,4,4,1,5,6,5,0
405,8,1,5,0,2,3,8,3,0
406,3,4,6,4,5,3,1,4,0
407,7,7,3,2,6,6,1,1,0
408,1,1,2,2,2,0,1,1,0
409,0,8,1,7,7,2,0,8,0
410,6,0,2,7,7,5,6,0,0
411,4,0,6,2,8,4,4,0,0
412,5,2,2,6,4,6,7,2,0
413,7,0,1,6,4,0,7,0,0
414,1,8,2,1,2,2,3,8,0
415,2,7,4,1,4,4,2,0,0
416,1,5,2,8,3,0,3,5,0
417,4,2,5,6,8,6,2,4,0
418,3,1,3,0,2,3,5,3,0
419,2,1,5,8,5,5,2,3,0
420,6,3,0,7,0,0,6,0,0
421,0,1,1,1,7,2,2,3,0
422,8,7,4,7,0,4,8,0,0
423,4,3,0,0,2,2,4,0,0
424,8,7,0,7,3,2,8,0,0
425,2,5,2,2,2,5,4,5,0
426,7,2,1,0,8,6,9,2,0
427,8,1,0,2,2,0,8,0,0
428,2,8,6,2,6,3,2,8,0
429,5,1,2,6,3,6,7,4,0
430,8,8,1,7,8,5,10,6,0
431,2,1,6,1,2,3,1,1,0
432,0,1,4,3,2,6,0,2,0
433,2,7,3,7,8,4,4,9,0
434,5,4,4,5,3,1,5,0,0
435,3,3,4,1,2,6,3,0,0
436,4,2,3,8,5,2,3,5,1
437,8,3,0,6,2,3,8,0,0
438,2,7,4,3,2,2,2,0,0
439,6,0,2,4,2,1,6,0,0
440,6,2,0,1,6,3,6,0,0
441,1,2,6,8,8,5,3,2,0
442,2,6,6,2,5,4,2,6,0
443,8,5,5,2,5,1,6,7,0
444,3,8,6,2,8,3,1,8,0
445,1,8,3,4,0,3,3,10,0
446,5,2,6,4,5,3,3,2,0
447,8,4,5,3,2,5,6,6,0
448,0,7,0,0,0,2,0,7,0
449,2,7,2,8,8,2,4,7,0
450,0,4,4,1,4,0,0,4,0
451,2,7,3,6,5,6,4,9,0
452,7,0,5,0,3,1,7,0,0
453,8,8,1,1,7,1,10,6,0
454,2,1,2,2,7,2,4,7,1
455,7,6,4,8,7,2,7,0,0
456,4,7,1,8,1,0,6,5,0
457,7,5,3,1,5,0,9,7,0
458,2,3,4,6,3,2,2,3,1
459,2,1,2,1,2,0,4,7,0
460,3,6,2,2,6,4,5,6,0
461,0,3,2,6,3,3,0,3,0
462,6,0,4,7,2,5,6,0,0
463,3,6,0,4,6,2,3,0,0
464,0,2,4,3,8,5,0,2,0
465,1,4,0,4,5,3,1,1,0
466,8,7,3,2,6,6,10,9,0
467,8,8,2,2,6,6,10,8,0
468,0,1,6,2,0,2,-20,1,0
469,3,8,2,6,8,5,5,8,0
470,6,4,6,0,1,0,4,4,0
471,2,4,0,1,7,2,2,0,0
472,0,7,0,0,6,1,0,7,0
473,0,0,2,5,1,1,0,0,0
474,2,3,2,7,0,1,4,3,0
475,4,0,5,8,4,6,4,0,0
476,8,4,3,0,0,6,10,6,0
477,5,8,3,7,4,2,7,10,0
478,0,4,2,3,7,5,0,4,0
479,0,7,6,4,0,0,0,7,0
480,6,3,5,8,8,4,4,5,0
481,6,5,2,2,5,4,8,5,0
482,5,2,4,2,0,4,5,0,0
483,2,6,6,5,5,4,2,6,0
484,0,3,1,6,4,6,0,3,0
485,8,5,6,5,1,4,6,5,0
486,6,1,1,2,4,5,8,3,0
487,3,5,0,1,3,2,3,3,1
488,5,1,3,7,0,6,7,3,0
489,6,8,3,5,2,0,8,10,0
490,6,2,1,2,8,1,8,2,0
491,5,1,4,5,8,1,5,0,0
492,4,5,2,8,3,1,6,5,0
493,4,2,0,4,6,4,4,0,1
494,3,8,0,7,1,4,3,0,0
495,1,7,1,6,2,5,3,5,0
496,2,8,0,0,6,0,2,0,0
497,0,4,6,1,4,4,0,4,0
498,4,6,5,7,3,4,2,8,0
499,1,0,6,3,2,1,2,0,0
500,5,6,5,8,7,0,3,8,0
501,0,1,3,6,1,1,7,8,1
502,2,4,1,6,0,4,4,2,0
503,7,3,6,5,2,6,5,3,0
504,5,5,3,2,7,5,1,1,0
505,1,5,4,1,8,2,4,7,0
506,8,7,0,3,5,2,8,0,0
507,0,1,0,4,3,0,0,0,0
508,5,3,2,3,4,1,7,3,0
509,5,0,6,3,5,3,5,0,0
510,7,0,1,6,2,0,7,0,0
511,6,7,1,4,7,6,8,5,0
512,3,1,6,6,0,5,1,1,0
513,6,3,5,3,0,1,4,5,0
514,6,2,6,4,4,4,4,2,0
515,6,3,3,4,2,4,8,5,0
516,2,0,1,4,1,4,2,0,0
517,5,5,2,4,5,5,7,5,0
518,7,8,3,4,2,3,9,10,0
519,8,5,3,5,5,4,5,8,1
520,7,3,1,6,2,2,9,1,0
521,8,3,3,1,1,4,10,5,0
522,5,6,3,4,8,1,7,8,0
523,8,6,2,3,1,5,10,6,0
524,4,7,4,8,6,5,4,0,0
525,2,4,2,2,1,4,4,4,0
526,6,3,6,7,5,3,4,3,0
527,6,7,2,6,7,2,6,7,1
528,0,0,1,2,4,5,0,0,0
529,3,8,2,0,7,6,5,8,0
530,7,8,4,1,4,5,7,0,0
531,7,4,0,0,6,1,7,0,0
532,3,0,3,6,2,1,3,0,0
533,6,2,6,4,0,3,4,2,0
534,7,3,5,7,0,4,5,5,0
535,2,0,2,4,8,4,2,0,0
536,4,7,3,8,6,1,6,9,0
537,8,8,4,6,6,2,8,6,1
538,5,4,3,8,1,3,7,6,0
539,3,2,2,1,2,6,9,2,1
540,3,6,4,1,2,6,3,0,0
541,4,5,6,4,0,0,2,5,0
542,8,4,4,8,6,6,8,0,0
543,6,4,3,4,3,0,8,6,0
544,7,3,3,3,4,6,9,5,0
545,2,3,4,4,4,0,2,0,0
546,7,7,6,3,0,5,5,7,0
547,3,3,0,7,2,6,3,0,0
548,8,4,2,1,8,0,10,4,0
549,2,7,4,4,4,6,2,0,0
550,1,1,4,0,7,4,1,1,0
551,0,6,1,2,5,1,0,6,0
552,1,0,4,4,0,6,1,1,0
553,7,8,3,4,1,2,9,10,0
554,0,3,3,6,5,2,0,3,0
555,3,4,5,1,8,5,1,6,0
556,7,4,5,7,3,2,5,6,0
557,4,8,3,4,4,2,8,4,1
558,8,8,6,1,2,4,6,8,0
559,1,5,6,6,0,1,3,5,0
560,5,5,6,4,3,3,3,5,0
561,4,1,2,4,2,3,6,5,0
562,1,8,1,4,7,5,3,6,0
563,3,0,6,0,5,2,3,0,0
564,7,1,2,1,1,6,9,2,0
565,2,6,5,2,7,3,2,8,0
566,3,6,3,6,2,0,5,8,0
567,0,7,5,5,8,0,0,7,0
568,6,4,4,5,6,1,6,5,1
569,4,0,1,2,6,0,4,0,0
570,0,4,2,7,8,1,0,4,0
571,7,1,2,2,3,2,9,2,0
572,8,1,2,1,2,5,10,1,0
573,3,1,1,8,6,5,5,3,0
574,8,0,5,5,4,3,8,0,0
575,8,1,3,6,5,1,10,3,0
576,6,6,0,8,4,4,6,0,0
577,1,2,3,5,2,0,3,4,0
578,5,5,1,3,8,2,2,8,1
579,2,2,2,3,0,0,4,2,0
580,0,2,2,7,6,3,0,2,0
581,8,1,2,7,3,3,10,1,0
582,1,8,4,8,5,6,1,10,0
583,3,0,4,0,5,6,3,0,0
584,6,3,5,5,4,2,4,5,0
585,0,8,3,5,1,0,0,8,0
586,1,4,5,2,4,3,3,6,0
587,5,8,4,1,0,1,5,0,0
588,7,5,5,3,7,0,5,7,0
589,7,4,4,2,0,0,7,0,0
590,5,1,1,7,0,1,7,3,0
591,4,2,1,7,4,5,6,2,0
592,5,4,3,0,1,3,7,6,0
593,5,4,2,6,1,3,7,4,0
594,4,5,6,4,6,4,2,5,0
595,1,3,1,7,3,1,7,5,1
596,1,2,4,0,2,1,7,4,0
597,8,1,1,0,7,0,10,3,0
598,6,5,1,4,4,0,8,3,0
599,5,7,5,8,6,6,3,9,0
600,2,8,5,2,7,4,2,10,0
601,3,4,4,5,3,2,3,0,0
602,6,4,6,5,8,0,4,4,0
603,2,4,1,6,2,3,4,2,0
604,4,2,5,5,1,2,2,4,0
605,5,1,0,0,2,0,5,0,0
606,7,6,0,3,0,4,7,0,0
607,6,7,5,6,4,2,5,4,1
608,1,4,1,6,0,0,3,2,0
609,1,2,1,4,3,2,3,2,0
610,1,7,6,4,7,1,3,7,0
611,8,7,0,1,8,2,8,0,0
612,2,7,3,1,6,6,4,9,0
613,3,7,2,4,3,1,5,7,0
614,6,4,0,3,3,3,6,0,0
615,2,5,1,0,0,1,4,3,0
616,6,1,3,3,4,6,8,3,0
617,4,0,6,7,4,6,4,0,0
618,8,7,1,4,4,6,10,5,0
619,3,4,1,2,4,0,5,2,0
620,8,4,2,1,3,0,10,4,0
621,5,0,1,4,6,1,5,0,0
622,6,0,5,7,0,3,6,0,0
623,2,3,1,7,8,6,4,1,0
624,1,2,2,4,3,0,3,2,0
625,0,3,3,0,3,1,0,3,1
626,1,4,6,7,2,2,3,4,0
627,3,7,2,7,5,5,5,7,1
628,3,6,6,2,5,2,1,6,0
629,1,2,6,4,5,2,3,2,0
630,3,6,6,4,3,3,1,6,0
631,0,5,3,7,6,3,0,5,0
632,6,6,2,7,4,5,8,6,0
633,6,2,4,2,2,6,6,0,0
634,1,3,2,8,1,0,3,3,0
635,5,5,3,2,2,2,1,1,0
636,7,2,1,8,6,2,9,2,0
637,2,3,3,8,3,4,8,9,1
638,1,8,3,6,6,0,3,10,0
639,2,1,5,6,8,0,2,3,0
640,8,1,3,8,8,5,10,3,0
641,4,3,6,1,1,4,2,3,0
642,6,5,0,1,3,6,6,0,0
643,3,8,5,0,7,4,1,10,0
644,1,0,4,2,6,5,1,1,0
645,0,3,3,5,0,2,0,3,0
646,0,5,2,3,1,2,0,5,0
647,7,0,0,3,1,1,7,0,0
648,7,3,5,0,8,3,5,5,0
649,4,6,2,1,7,3,6,6,0
650,4,3,3,8,2,1,6,5,0
651,8,2,5,3,7,5,6,4,0
652,1,5,1,1,6,4,3,3,0
653,5,8,1,7,0,6,7,6,0
654,6,4,3,0,2,6,8,6,0
655,3,0,0,4,8,6,3,0,0
656,3,6,2,8,8,6,5,6,0
657,5,4,3,6,0,5,7,6,0
658,8,8,5,0,2,2,6,10,0
659,4,2,0,6,2,0,4,0,0
660,7,2,3,5,5,6,9,4,0
661,0,1,1,7,3,1,2,3,0
662,4,3,4,0,7,6,4,0,0
663,5,3,0,4,2,3,5,0,0
664,6,6,1,7,6,3,8,4,0
665,3,6,5,4,3,3,1,8,0
666,5,8,2,6,1,6,7,8,0
667,6,4,5,6,5,3,4,6,0
668,6,2,3,5,0,1,8,4,0
669,1,1,2,8,8,1,1,1,0
670,8,8,0,6,5,3,8,0,0
671,1,6,0,7,1,0,1,1,0
672,6,1,0,8,1,2,6,0,0
673,4,5,2,0,0,6,6,5,0
674,8,1,4,3,3,2,8,0,0
675,8,3,5,0,7,2,6,5,0
676,4,2,1,7,2,1,6,2,0
677,8,4,2,1,7,6,10,4,0
678,5,3,4,0,0,0,5,0,0
679,2,3,6,7,3,0,2,3,0
680,1,6,0,4,4,5,1,1,0
681,7,0,3,2,3,0,7,0,0
682,6,4,1,6,8,5,8,2,0
683,5,3,3,4,3,3,7,5,0
684,3,5,5,5,3,0,1,7,0
685,1,4,1,1,0,2,3,2,0
686,1,1,0,7,8,6,1,1,0
687,8,1,3,7,2,6,10,3,0
688,8,0,6,8,8,5,8,0,0
689,3,4,4,2,7,3,3,0,0
690,0,5,1,1,1,5,0,5,0
691,1,3,1,3,7,3,3,1,0
692,1,7,2,3,2,1,3,7,0
